source_tag,source_category,source_posts,target_tag,alias_status,target_category,target_posts,target_has_definition,target_is_alias
mochi_pounding,general,295,mochitsuki,active,general,506,1,0
matthew_williams,character,294,canada_(hetalia),active,character,412,1,0
fairy_maid,character,293,fairy_maid_(touhou),active,character,389,1,0
godguard_brodia,character,293,godsworn_alexiel,active,character,380,1,0
hand_seal,general,293,kuji-in,active,general,1725,1,0
naruhodou_minuki,character,293,trucy_wright,active,character,775,1,0
jean_gunnhildr,character,292,jean_(genshin_impact),active,character,4306,1,0
looking_over_shoulder,general,292,looking_back,active,general,454688,1,0
emilia_leblanc,character,291,leblanc_(league_of_legends),active,character,368,1,0
imi_uzi,general,290,uzi,active,general,406,1,0
kurimura_airi,character,290,airi_(blue_archive),active,character,1817,1,0
sakura_wars:_so_long_my_love,copyright,290,sakura_taisen_v,active,copyright,429,1,0
komurasaki_(one_piece),character,288,kouzuki_hiyori,active,character,462,1,0
little_red_riding_hood_(sinoalice),character,288,red_riding_hood_(sinoalice),active,character,365,0,0
suzuki_maria,character,288,suzuki_(girls_und_panzer),active,character,389,1,0
aleksandra_i_pokryshkin,character,287,aleksandra_i._pokryshkin,active,character,381,1,0
ragnarok_m:_eternal_love,copyright,287,ragnarok_masters,active,copyright,800,1,0
the_emperor_(arknights),character,287,emperor_(arknights),active,character,393,1,0
yuuki_aine,character,287,yuki_aine,active,character,399,1,0
middle_split,general,286,straddle_split,active,general,0,0,0
urtoriy,character,284,ulthury,active,character,288,0,0
dropout_idol_fruit_tart,copyright,283,ochikobore_fruit_tart,active,copyright,431,1,0
pool_ball,general,283,billiard_ball,active,general,952,1,0
samurai_(7th_dragon),character,283,samurai_(7th_dragon_series),active,alias,517,1,0
hexer_(sekaiju),general,282,curse_maker,active,character,418,1,0
just_according_to_keikaku,general,282,just_as_planned_(meme),active,general,305,1,0
willard_h_wright,character,282,willard_h._wright,active,character,308,1,0
wz.29,general,282,mauser_98,active,general,798,1,0
heart-shaped_buttons,general,281,heart_button,active,general,4200,1,0
nier_(young),character,281,nier_(brother),active,character,518,1,0
type_38_rifle,general,281,arisaka,active,general,552,1,0
type_99_short_rifle,general,281,arisaka,active,general,552,1,0
circular_border,general,280,round_border,active,general,3453,1,0
material-l,character,280,levi_the_slasher,active,character,346,1,0
piercing_bunny,character,280,scathach_(piercing_bunny)_(fate),active,character,868,1,0
erufuda-san,character,279,elfuda_(elf-san_wa_yaserarenai.),active,character,431,1,0
fireman,character,279,firefighter,active,general,680,1,0
moneybag,general,279,money_bag,active,general,493,1,0
blond_hair,general,278,blonde_hair,active,general,0,1,0
hexcaster_(sekaiju),general,278,curse_maker,active,character,418,1,0
ping_pong_ball,general,278,table_tennis_ball,active,general,378,1,0
retoree,character,278,retoree_(show_by_rock!!),active,character,337,1,0
shiro_(housamo),character,278,motoori_shiro,active,character,397,1,0
type_24_(chiang_kai-shek_rifle),general,277,mauser_98,active,general,798,1,0
frau_bow,character,276,fraw_bow,active,character,376,1,0
type_30_rifle,general,276,arisaka,active,general,552,1,0
type_44_carbine,general,276,arisaka,active,general,552,1,0
50_yen_coin,general,275,holed_coin,active,general,2080,1,0
5_yen_coin,general,275,holed_coin,active,general,2080,1,0
cash_(chinese),general,275,holed_coin,active,general,2080,1,0
special_week,character,275,special_week_(umamusume),active,character,3739,1,0
type_38_carbine,general,275,arisaka,active,general,552,1,0
beaded_panties,general,274,pearl_thong,active,general,1314,1,0
lemillion_(boku_no_hero_academia),general,274,togata_mirio,active,character,517,1,0
when_will_ayumu_make_his_move?,copyright,274,soredemo_ayumu_wa_yosetekuru,active,copyright,557,1,0
yor_forger,character,274,yor_briar,active,character,14147,1,0
blood_on_floor,general,273,blood_on_ground,active,general,2379,1,0
heart-shaped_sunglasses,general,273,heart-shaped_eyewear,active,general,9771,1,0
shougi_no_yatsu,general,273,soredemo_ayumu_wa_yosetekuru,active,copyright,557,1,0
squeaky_mallet,general,273,toy_hammer,active,general,494,1,0
stomach-to-stomach,general,273,belly-to-belly,active,general,1049,1,0
fiora_laurent,character,272,fiora_(league_of_legends),active,character,328,1,0
risa_(ponyo),character,272,lisa_(ponyo),active,character,295,1,0
macross_frontier:_the_wings_of_farewell,copyright,271,macross_frontier:_sayonara_no_tsubasa,active,copyright,292,1,0
oono_kanako,character,271,ohno_kanako,active,general,1,1,0
trading_cards,general,271,trading_card,active,general,8906,1,0
black_magician,character,270,dark_magician,active,character,468,1,0
noise_(crt),general,270,static,active,general,1017,1,0
cruciform_halo,general,269,cross_halo,active,general,2794,1,0
kadenokouji_yukari,character,269,yukari_(blue_archive),active,character,994,1,0
elly_(xenogears),character,268,elhaym_van_houten,active,character,357,1,0
honjitsu_no_shuyaku,general,267,birthday_sash,active,general,514,1,0
ice_manipulation,general,267,cryokinesis,active,general,899,1,0
miyoshi_takane,character,267,takane_(blue_archive),active,character,577,1,0
saimon_(tales),character,267,symonne_(tales),active,character,390,1,0
mizuha_mimori,character,266,mimori_(blue_archive),active,character,630,1,0
corazon_(one_piece),character,265,donquixote_rocinante,active,character,949,1,0
fionna_the_human_girl,character,265,fionna_campbell,active,character,364,1,0
jahy_sama_wa_kujikenai,general,265,jahy-sama_wa_kujikenai!,active,copyright,833,1,0
penis_gag,general,264,dildo_gag,active,general,692,1,0
vertical-striped_kneehighs,general,264,vertical-striped_socks,active,general,1483,1,0
failed_exam,general,263,test_score,active,general,435,1,0
string_figure,general,263,cat's_cradle,active,,,1,0
ace_attorney_5,copyright,262,phoenix_wright:_ace_attorney_-_dual_destinies,active,copyright,575,1,0
armor_removed,general,262,unworn_armor,active,general,395,1,0
exam_score,general,262,test_score,active,general,435,1,0
score_on_paper,general,262,test_score,active,general,435,1,0
studded_dildo,general,262,spiked_dildo,active,general,628,1,0
rein_(fushigiboshi_no_futago_hime),character,261,rein_(futagohime),active,character,425,1,0
dog_walking,general,260,pet_walking,active,general,459,1,0
lopsided_breasts,general,260,asymmetrical_breasts,active,general,418,1,0
pterodactyl,general,260,pterosaur,active,general,468,1,0
scar_through_eyebrow,general,260,eyebrow_cut,active,general,4453,1,0
shaved_ice_flag,general,260,kooribata,active,general,313,1,0
tu_ya_(mao_lian),general,260,aina_(mao_lian),active,character,379,1,0
extra_wings,general,259,multiple_wings,active,general,10485,1,0
funny_glasses,general,259,groucho_glasses,active,general,365,1,0
money_in_clothes,general,259,tucked_money,active,general,890,1,0
benjamin_kirby_tennyson,character,258,ben_tennyson,active,character,588,1,0
blackbeard_(one_piece),character,258,marshall_d._teach,active,character,407,1,0
pajamas_party,general,258,sleepover,active,general,426,1,0
tino_vainamoinen,character,258,finland_(hetalia),active,character,283,1,0
yuujin_a_(hololive),character,258,a-chan_(hololive),active,character,826,1,0
bloody_fingers,general,257,blood_on_hands,active,alias,16219,1,0
money_in_cleavage,general,257,tucked_money,active,general,890,1,0
orange_kneehighs,general,257,orange_socks,active,general,2127,1,0
a_bridge_to_the_starry_skies,copyright,256,hoshizora_e_kakaru_hashi,active,copyright,284,1,0
bloody_breasts,general,256,blood_on_breasts,active,general,1113,1,0
plamo,general,256,model_kit,active,general,992,1,0
shirt_pocket,general,256,breast_pocket,active,general,27744,1,0
tracer_fire,general,256,projectile_trail,active,general,461,1,0
cefca_palazzo,character,255,kefka_palazzo,active,general,65,1,0
poor,general,255,poverty,active,general,76,1,0
tonelico_(fate),character,255,aesc_(fate),active,character,1044,1,0
claw_(street_fighter),character,254,vega_(street_fighter),active,character,381,1,0
cumswap,general,254,cum_swap,active,general,599,1,0
medicine_seller_(mononoke),general,254,kusuriuri_(mononoke),active,character,371,1,0
odoroki_housuke,character,254,apollo_justice,active,character,910,1,0
sig_sauer_556,general,254,sig_556,active,general,516,1,0
fine_(fushigiboshi_no_futago_hime),character,253,fine_(futagohime),active,character,490,1,0
harapan,general,253,stomach_punch,active,general,784,1,0
kengo_(housamo),character,253,takabushi_kengo,active,character,363,1,0
too_many_scars,general,253,scars_all_over,active,general,1422,1,0
chili,general,252,chili_pepper,active,general,1051,1,0
drawing_time,general,252,completion_time,active,general,743,1,0
jennifer_wakeman,character,252,jenny_wakeman,active,character,606,1,0
astro_(astro_boy),character,251,atom_(tetsuwan_atom),active,character,250,1,0
dimple_(mob_psycho_100),character,251,ekubo_(mob_psycho_100),active,character,553,1,0
battle_fist_(boku_no_hero_academia),general,250,kendou_itsuka,active,character,482,1,0
belt_removed,general,250,unworn_belt,active,general,518,1,0
marchen_(album),copyright,250,maerchen_(sound_horizon),active,copyright,257,1,0
torpedo_breasts,general,250,pointy_breasts,active,general,1518,1,0
ardbert_(ff14),character,249,ardbert_hylfyst,active,character,470,1,0
bukamon,character,249,pukamon,active,character,600,1,0
gyakuten_saiban_5,copyright,249,phoenix_wright:_ace_attorney_-_dual_destinies,active,copyright,575,1,0
gawain_(fairy_knight)_(fate),character,248,barghest_(fate),active,character,2913,1,0
hedge_(plant),general,248,hedge,active,general,879,1,0
mc4_(housamo),character,248,protagonist_4_(housamo),active,character,370,1,0
punk-02,character,248,vegapunk_lilith,active,character,629,1,0
scowly_nun_(diva),character,248,strict_nun_(diva),active,character,561,1,0
chinese_window,general,246,lattice,active,general,1093,1,0
ghetsis_harmonia,character,246,ghetsis_(pokemon),active,character,511,1,0
kamyu,character,246,camyu,active,character,250,0,0
boxer_(street_fighter),character,245,balrog_(street_fighter),active,character,313,1,0
dearche_kings_claudia,character,245,lord_dearche,active,character,268,1,0
party_blower,general,245,party_horn,active,general,313,0,0
structural_formula,general,244,chemical_structure,active,general,2480,1,0
girl_(deemo),character,242,alice_(deemo),active,character,261,1,0
muzzle_brake,general,242,muzzle_device,active,general,632,1,0
sekine,character,242,sekine_shiori,active,character,302,1,0
touhou_gouyoku_ibun,copyright,242,sunken_fossil_world,active,copyright,331,1,0
bear_paw_hammer,general,241,paw_stick,active,general,379,1,0
cat_pillow,general,241,cat-shaped_pillow,active,general,350,1,0
nekonyaa,character,241,nekonyaa_(girls_und_panzer),active,character,156,1,0
rockman_x_dive,copyright,241,mega_man_x_dive,active,copyright,1788,1,0
swimsuit_of_perpetual_summer,general,241,mash_kyrielight_(swimsuit_of_perpetual_summer),active,character,625,1,0
red_earth_(game),copyright,240,warzard,active,copyright,350,1,0
gray_background,general,239,grey_background,active,general,0,1,0
lin_yuhsia_(arknights),character,239,lin_(arknights),active,character,848,1,0
gunzo_(tokyo_houkago_summoners),character,238,tamamura_gunzo,active,character,520,1,0
headgear_removed,general,238,unworn_headgear,active,general,277,1,0
priest_staff_(buddhist),general,238,shakujou,active,general,554,1,0
illyasviel_von_einzbern_(swimsuit_archer)_(fate),character,237,illyasviel_von_einzbern_(swimsuit_archer),active,alias,396,1,0
shiraishi_utaha,character,237,utaha_(blue_archive),active,character,674,1,0
uesugi_u_kyouko,character,237,uesugi_u._kyouko,active,character,241,1,0
leg_cling,general,236,hugging_another's_leg,active,,,0,0
press-ups,general,236,push-ups,active,general,689,1,0
thighhigh_boots,general,236,thigh_boots,active,general,125961,1,0
yugioh_sevens,copyright,236,yu-gi-oh!_sevens,active,copyright,653,1,0
yuragi_momoka,character,236,momoka_(blue_archive),active,character,405,1,0
hidden_blade,general,235,concealed_weapon,active,general,525,1,0
master_4_(housamo),character,235,protagonist_4_(housamo),active,character,370,1,0
niyah,character,235,nia_(xenoblade),active,character,4273,1,0
thumb_biting,general,235,biting_own_thumb,active,general,314,1,0
todo_aoi_(jujutsu_kaisen),general,235,toudou_aoi_(jujutsu_kaisen),active,character,678,1,0
cat_bell,general,234,jingle_bell,active,general,51920,1,0
shennong_(tokyo_houkago_summoners),character,234,shennong_(housamo),active,character,390,1,0
berwald_oxenstierna,character,233,sweden_(hetalia),active,character,261,1,0
lunar_phases,general,233,moon_phases,active,general,1425,1,0
money_hold,general,233,tucked_money,active,general,890,1,0
silence_suzuka,character,233,silence_suzuka_(umamusume),active,character,5224,1,0
very_perky_breasts,general,233,pointy_breasts,active,general,1518,1,0
hosomi_(girls_und_panzer),character,232,hosomi_shizuko,active,character,204,1,0
kiss_meme_chart,general,232,kiss_chart,active,general,267,1,0
samantha_samsung,character,232,samsung_sam,active,character,454,1,0
barrett_m107,general,231,barrett_m82,active,general,437,1,0
machi_(hunter_x_hunter),character,231,machi_komacine,active,character,359,1,0
nio_(granblue_fantasy),character,231,niyon_(granblue_fantasy),active,character,313,1,0
pedicure,general,231,applying_pedicure,active,general,494,1,0
calumon,character,230,culumon,active,character,682,1,0
five-seven_(gun),general,230,fn_five-seven,active,general,254,1,0
memory,general,230,remembering,active,general,476,1,0
haunting_ground,copyright,229,demento,active,copyright,265,1,0
cowter,general,228,couter,active,general,981,1,0
kohak_hearts,character,228,kohaku_hearts,active,character,259,1,0
samanta_(samsung),general,228,samsung_sam,active,character,454,1,0
bookcase,general,227,bookshelf,active,general,23778,1,0
ophilia_(octopath_traveler),character,226,ophilia_clement,active,character,81,0,0
saber_(fate/samurai_remnant),character,226,yamato_takeru_(fate),active,character,1040,1,0
burning_background,general,225,fiery_background,active,general,868,1,0
fellatio_under_veil,general,225,fellatio_under_mask,active,general,652,1,0
holding_guitar_pick,general,225,holding_plectrum,active,general,2093,1,0
tristan_(fairy_knight)_(fate),character,225,baobhan_sith_(fate),active,character,6439,1,0
elizabeth_f_beurling,character,224,elizabeth_f._beurling,active,character,228,1,0
gauntlet,general,224,gauntlets,active,general,69562,1,0
makuhari-chan,character,224,magical_mirai_miku_(2016),active,character,338,1,0
osakabe-hime_(swimsuit_archer)_(fate),character,224,osakabehime_(swimsuit_archer)_(fate),active,character,264,1,0
barbed_penis,general,223,spiked_penis,active,general,1106,1,0
floaties,general,223,inflatable_armbands,active,general,447,1,0
hair_pom_pom,general,223,pom_pom_hair_ornament,active,general,9696,1,0
pozemka_(arknights),character,223,pozyomka_(arknights),active,character,862,1,0
minazuki_kyoko,character,222,minazuki_kyouko,active,alias,213,1,0
ronin_(sekaiju),general,222,bushidou_(sekaiju),active,character,331,1,0
samurai_(sekaiju),general,222,bushidou_(sekaiju),active,character,331,1,0
shoujo_bubble,general,222,bishie_sparkle,active,general,493,1,0
armpit_spreading,general,221,spread_armpit,active,general,990,1,0
brave_perspective,general,221,sunrise_stance,active,general,307,1,0
drinking_water_fountain,general,221,drinking_fountain,active,general,314,1,0
schematics,general,221,blueprint_(object),active,general,435,1,0
spoken_emoticon,general,221,spoken_expression,active,general,1513,1,0
ghost_stories,copyright,220,gakkou_no_kaidan_(anime),active,copyright,286,1,0
power_board,general,219,power_strip,active,general,364,1,0
reizyo_(blue_archive),character,219,reijo_(blue_archive),active,character,954,1,0
sheer_bodysuit,general,219,see-through_bodysuit,active,general,1409,1,0
simon_riley,character,219,ghost_(modern_warfare_2),active,character,1080,1,0
stoat_ears,general,219,weasel_ears,active,general,1905,1,0
avatar_icon,general,218,profile_picture,active,general,619,1,0
bunny_earrings,general,218,rabbit_earrings,active,general,424,1,0
jean_shorts,general,218,denim_shorts,active,general,50893,1,0
lady_dimitrescu,character,218,alcina_dimitrescu,active,character,1315,1,0
marpat,general,218,digital_camouflage,active,general,524,1,0
ace_attorney_4,copyright,217,apollo_justice:_ace_attorney,active,copyright,818,1,0
beastiality,general,217,bestiality,active,general,30784,1,0
female_protagonist_(pokemon_sv),character,217,juliana_(pokemon),active,character,3905,1,0
horkeu_kamui_(tokyo_houkago_summoners),character,217,horkeu_kamui,active,character,401,1,0
theresa_apocalypse_(starlit_astrologos),character,217,zhuge_kongming_(honkai_impact),active,character,360,1,0
wanibuchi_akari,character,217,akari_(blue_archive),active,character,628,1,0
yorha_commander,character,217,commander_(nier:automata),active,character,275,0,0
25_miku,character,216,25-ji_miku,active,character,717,1,0
baki_the_grappler,general,216,grappler_baki,active,copyright,438,1,0
emotionless,general,216,expressionless,active,general,170013,1,0
skies_of_arcadia,copyright,216,eternal_arcadia,active,copyright,322,1,0
gold_hair,general,214,blonde_hair,active,general,0,1,0
hiyoshi_aoi,character,214,piyotan_(girls_und_panzer),active,character,264,1,0
irie_(angel_beats!),character,214,irie_miyuki,active,character,304,1,0
no-face_(spirited_away),character,214,kaonashi,active,character,283,1,0
republic_of_china_(post-1949),general,214,taiwan,active,general,314,1,0
sealing_wax,general,214,wax_seal,active,general,951,1,0
swim_cap_removed,general,214,unworn_swim_cap,active,general,311,0,0
